Estação,Data,Precipitação,Temp. Média,Temp. Máx.,Temp. Mín.,Pressão Barométrica,Umidade Rel.,Evapotranspiração,Rad. Solar,UV,Vel. Méd. Vento,Vel. Máx. Vento,Direção do Vento
,,mm,°C,°C,°C,mBar,%,mm,w/m2,MEDs,km/h,km/h,
IFRO_Colorado do Oeste,1/14/2025,"39,6","21,93","23,22","20,11","1011,91",0,"2,46","59,94","0,33","6,33","30,6",E
IFRO_Colorado do Oeste,1/15/2025,0,"24,27","28,94","20,61","1011,29","14,69","5,26","201,99","1,44","5,22","30,6",E
IFRO_Colorado do Oeste,1/16/2025,"0,2","24,55","29,66","22,61",1012,"8,39","4,39","149,66","1,05","5,53","24,1",E
IFRO_Colorado do Oeste,1/17/2025,"5,4","24,83","28,72","22,05","1012,65","12,6","5,92","213,22","1,4","6,36","32,2",E
IFRO_Colorado do Oeste,1/18/2025,"8,4","24,06",28,"22,44","1013,03","1,63","3,84","130,75","0,84","3,64","22,5",E
IFRO_Colorado do Oeste,1/19/2025,"5,6","24,27","27,22","22,61","1012,28","3,26","3,86",142,"0,91","4,27","24,1",SW
IFRO_Colorado do Oeste,1/20/2025,"8,2","23,1","24,72","22,33","1012,49",0,"3,3","79,17","0,4","4,44","32,2",W
IFRO_Colorado do Oeste,1/21/2025,"0,4","23,09",25,"21,72","1013,58","0,04","3,15","99,97","0,42","2,23","22,5",W
IFRO_Colorado do Oeste,1/22/2025,"0,6","24,23","28,33","21,83","1015,42","17,98","4,04","190,59","1,09","2,39","22,5",E
IFRO_Colorado do Oeste,1/23/2025,"46,6","23,41","30,83","19,33","1015,62","14,65","4,75","225,98","1,44","2,63",37,E
IFRO_Colorado do Oeste,1/24/2025,"0,4","23,92","32,22","19,33","1013,96","17,56","5,89","261,65","1,55","2,54","40,2",E
IFRO_Colorado do Oeste,1/25/2025,"7,2","24,65","30,44","21,39","1014,86","14,89","6,35","264,57","1,47","4,42","32,2",E
IFRO_Colorado do Oeste,1/26/2025,"10,6","23,2","30,22","21,5","1014,58","4,92","3,66","133,17","0,69","1,5","27,4",E
IFRO_Colorado do Oeste,1/27/2025,"0,6","25,29","31,83","20,61","1013,2","20,36","5,92","265,76","1,53","4,22","30,6",E
IFRO_Colorado do Oeste,1/28/2025,0,"25,14","32,05","21,78","1013,07","15,59","5,36","253,96","1,66","2,71","35,4",E
IFRO_Colorado do Oeste,1/29/2025,"16,2","25,45","32,55","22,22","1013,27","13,76","4,67","239,47","1,26","2,32","33,8",E
IFRO_Colorado do Oeste,1/30/2025,"0,6","24,99","31,27","21,61","1013,45","16,91","5,31","222,01","1,35","4,6","30,6",N
IFRO_Colorado do Oeste,1/31/2025,"0,6","25,51","30,44","22,66","1012,05","17,83","6,1","261,47","1,55","4,2","25,7",E
IFRO_Colorado do Oeste,2/1/2025,10,"24,55","30,89","22,33","1010,66","9,89","5,11","178,34","1,2","5,88","43,5",E
IFRO_Colorado do Oeste,2/2/2025,70,"24,06","28,77","21,83","1010,15","10,06","5,18","191,72","1,19","5,86","27,4",E
IFRO_Colorado do Oeste,2/3/2025,"0,4","23,84","28,05","21,72","1010,89","7,77","4,37","127,75","0,69","5,47","25,7",WSW
IFRO_Colorado do Oeste,2/4/2025,"0,2","25,22","30,39","21,5","1011,63","17,57","5,94","271,24","1,69","4,28","30,6",E
IFRO_Colorado do Oeste,2/5/2025,50,"23,92","28,33","22,16","1011,99","1,88","3,38","120,91","0,54","2,6","32,2",E
IFRO_Colorado do Oeste,2/6/2025,27,"24,24","29,66",22,"1012,84","7,01","4,29","170,05","1,16","1,76","25,7",N
IFRO_Colorado do Oeste,2/7/2025,34,"24,8","30,44","22,33","1012,38","8,47","5,03","215,01","1,48","2,16","20,9",E
IFRO_Colorado do Oeste,2/8/2025,"1,4","24,82","29,94","22,44","1013,04","15,79","4,57","198,25","1,21","2,19","22,5",E
IFRO_Colorado do Oeste,2/9/2025,"24,4","24,56","30,33","21,89","1013,77","14,38","4,98","236,06","1,46","2,92","20,9",E
IFRO_Colorado do Oeste,2/10/2025,"0,2","24,19","29,77","22,22","1012,81","6,74","4,47","192,26","1,26","2,58","24,1",E
IFRO_Colorado do Oeste,2/11/2025,"0,4","24,06","28,72","21,33","1011,17","14,27","4,44","187,94","1,17","2,64","22,5",N
IFRO_Colorado do Oeste,2/12/2025,4,"23,52","27,66",22,"1012,74","5,49","3,94","163,83","1,26","3,52","35,4",WNW
IFRO_Colorado do Oeste,2/13/2025,1,"23,41","27,33","20,89","1014,3","2,92","2,9","97,67","0,54","1,29","22,5",E
IFRO_Colorado do Oeste,2/14/2025,"21,6","23,57","27,61","22,28","1013,66","2,19","4,11","130,82","0,87","4,14","25,7",E
IFRO_Colorado do Oeste,2/15/2025,0,"23,94","28,33","21,55","1011,91","9,35","4,19","165,99","1,04","2,49",29,N
IFRO_Colorado do Oeste,2/16/2025,"0,2","24,82","30,27","21,66","1012,41","11,7","4,75","211,34","1,43","3,14","22,5",E
IFRO_Colorado do Oeste,2/17/2025,"23,4","23,87","26,28","22,66","1013,16","0,31","2,84","97,88","0,54","1,61","16,1",E
IFRO_Colorado do Oeste,2/18/2025,"11,6","24,6","29,33","22,72","1013,59","6,58","3,91","178,14","1,1","1,84",29,E
IFRO_Colorado do Oeste,2/19/2025,"1,4","24,22","29,44",22,"1014,33","14,85","4,34","188,31","1,05","3,72","25,7",E
IFRO_Colorado do Oeste,2/20/2025,"0,4","24,77","30,55","21,83","1014,24","10,19","3,94","185,32","1,07","2,52","22,5",E
IFRO_Colorado do Oeste,2/21/2025,"0,6","24,44","30,16","22,72","1015,45","6,72","4,6","181,78","1,25","2,58",29,E
IFRO_Colorado do Oeste,2/22/2025,"9,6","26,04","32,72","20,83","1014,52","21,65","6,32","276,41","1,53","3,19","30,6",E
IFRO_Colorado do Oeste,2/23/2025,"18,2","25,6","32,11","21,33","1013,61","19,85","5,41","262,23","1,44","3,63","24,1",E
IFRO_Colorado do Oeste,2/24/2025,"24,6","24,96","30,66","22,5","1013,77","15,83","5,21","237,93","1,42","4,34","30,6",E
IFRO_Colorado do Oeste,2/25/2025,"98,8","23,71","28,77",22,"1013,83","1,84","3,05","112,34","0,71","1,85","30,6",E
IFRO_Colorado do Oeste,2/26/2025,"18,4","23,98","28,55","21,5","1014,67","4,24","4,32","192,04","1,35","2,84","20,9",NNW
IFRO_Colorado do Oeste,2/27/2025,"20,2","24,22","28,83","22,33","1013,69","8,85","4,19","159,82","1,32","3,28","27,4",E
IFRO_Colorado do Oeste,2/28/2025,13,"24,88","30,05","22,39","1013,18","13,93","4,55","169,91","1,23","3,71","25,7",ENE
IFRO_Colorado do Oeste,3/1/2025,"9,6","24,02","28,94","22,22","1013,62","5,49","4,11","164,81","1,28","2,13","16,1",E
IFRO_Colorado do Oeste,3/2/2025,"23,4","23,98","29,16","22,11","1013,67","4,02","3,33","127,25","0,87","1,41","33,8",E
IFRO_Colorado do Oeste,3/3/2025,"23,6","24,35","29,89","21,83","1013,25","7,95","4,85","182,77","1,42","3,36","19,3",ENE
IFRO_Colorado do Oeste,3/4/2025,"17,2","23,73","26,94","22,11","1012,89","3,81","3,66","130,78","0,92","3,02","24,1",E
IFRO_Colorado do Oeste,3/5/2025,"9,8","23,87","28,61","22,11","1012,92","6,68","3,58","154,91","1,15","2,65",29,N
IFRO_Colorado do Oeste,3/6/2025,15,"23,64","27,11","22,39","1013,87","2,54","2,79","112,4","0,66","1,67",29,N
IFRO_Colorado do Oeste,3/7/2025,"34,6","23,92","28,39","22,16","1014,65","5,14","3,3","130,08","1,09","2,71","35,4",N
IFRO_Colorado do Oeste,3/8/2025,"0,2","24,29","29,05","22,16","1015,34","7,93","3,86","147,3","1,28","2,23","24,1",N
IFRO_Colorado do Oeste,3/9/2025,"47,8","23,61","28,83","21,44","1015,23","4,19","3,1","106,44","0,8","1,55","24,1",E
IFRO_Colorado do Oeste,3/10/2025,0,"24,48","29,33","22,05","1014,02","8,56","3,68","153,08","1,33","1,4",29,E
IFRO_Colorado do Oeste,3/11/2025,"2,4","24,5","29,72","22,44","1014,74","5,78","3,53","139,72","1,05","0,89","27,4",E
IFRO_Colorado do Oeste,3/12/2025,0,"24,92","29,61","21,66","1015,61","6,8","4,93","180,03","1,29","2,57","20,9",E
IFRO_Colorado do Oeste,3/13/2025,"19,4","25,2","29,94","22,94","1015,3","8,63","3,94","175,8","1,01","1,6","17,7",N
IFRO_Colorado do Oeste,3/14/2025,"28,8","23,53","26,55","20,89","1015,03","0,69","3,07","116,12","0,77","2,04","19,3",E
IFRO_Colorado do Oeste,3/15/2025,"0,2","24,84","31,11","22,22","1014,2","10,74","4,37","181,72","1,38","1,82","17,7",E
IFRO_Colorado do Oeste,3/16/2025,"10,2","24,89","31,89","21,61","1015,04","9,69","5,21","200,28","1,2","2,98","35,4",ENE
IFRO_Colorado do Oeste,3/17/2025,"0,6","24,54","29,16",22,"1015,69","6,85","4,67","190,68","1,27","2,94","25,7",E
IFRO_Colorado do Oeste,3/18/2025,"4,2","24,96","30,27","20,94","1014,11","10,67","4,72","198,6","1,2","1,89",29,E
IFRO_Colorado do Oeste,3/19/2025,"40,8","24,18","29,83","21,83","1014,95","4,84","3,66","164,77","1,23","3,31","24,1",E
IFRO_Colorado do Oeste,3/20/2025,"10,2","24,45","29,33","21,28","1015,43","8,03","4,29","189,37","1,38","2,94","19,3",E
IFRO_Colorado do Oeste,3/21/2025,"0,2","25,22","31,39","21,83","1014,36","9,29","4,01","174,97","1,21","2,27","25,7",WNW
IFRO_Colorado do Oeste,3/22/2025,"11,8","25,79","31,89","22,5","1013,85","15,37","4,62","198,68","1,18","3,39","41,8",E
IFRO_Colorado do Oeste,3/23/2025,"1,8","26,01","31,44","22,05","1012,96","12,62","5,21","201,33","1,41","3,63","30,6",E
IFRO_Colorado do Oeste,3/24/2025,"0,4","25,01","27,11","23,33","1013,83","5,7","3,15","158,12","0,98","3,42","19,3",E
IFRO_Colorado do Oeste,3/25/2025,"5,6","24,27","28,94","21,83","1014,35","5,14","4,57","171,43","1,03","3,23",29,E
IFRO_Colorado do Oeste,3/26/2025,"0,8","24,66","29,55","21,55","1014,02","8,16","4,6","180,41","1,3","3,06","27,4",ENE
IFRO_Colorado do Oeste,3/27/2025,"33,2","23,68","28,66","22,16","1013,06","3,51","2,79","107,95","0,97","3,81","27,4",E
IFRO_Colorado do Oeste,3/28/2025,"1,2","24,64","29,83","21,28","1012,53","8,63","4,09","192,01","1,56","3,08","25,7",WNW
IFRO_Colorado do Oeste,3/29/2025,22,"24,46","29,83","21,83","1012,03","7,18","3,99","150,07","1,02","3,47","25,7",E
IFRO_Colorado do Oeste,3/30/2025,"12,8","24,38","29,55","22,05","1011,49","6,59","4,44","150,83","1,07","4,1","40,2",E
IFRO_Colorado do Oeste,3/31/2025,"10,2","24,59","28,77","22,94","1013,1","4,06","3,4","130,95","0,82","1,84","24,1",E
IFRO_Colorado do Oeste,4/1/2025,"4,8","23,05","26,66","20,72","1014,9","0,2","2,87","96,27","0,45","2,75","33,8",E
IFRO_Colorado do Oeste,4/2/2025,10,"23,15","29,61","19,94","1014,21","3,73","4,04","145,61","1,14","2,7","22,5",E
IFRO_Colorado do Oeste,4/3/2025,"4,4","24,33","31,33","22,22","1014,69","6,12","4,11","151,51","1,13","2,27","32,2",E
IFRO_Colorado do Oeste,4/4/2025,7,"24,06","29,83","22,28","1016,59","3,6","3,96","125,74","0,82","4,02","27,4",E
IFRO_Colorado do Oeste,4/5/2025,0,"21,9","24,33","19,83",1018,"0,16","3,96","91,3","0,43","7,23","27,4",N
IFRO_Colorado do Oeste,4/6/2025,0,"22,33","27,39","19,22","1016,27","4,76","4,06","145,03","0,93","4,45","19,3",N
IFRO_Colorado do Oeste,4/7/2025,"0,2","23,72",30,"20,28","1014,41","9,84","3,2","158,58","1,12","2,36","20,9",E
IFRO_Colorado do Oeste,4/8/2025,0,"24,51","29,16","21,16","1014,95","9,32","3,53","133,02","0,6","2,31","22,5",E
IFRO_Colorado do Oeste,4/9/2025,"0,2","24,13","29,44","22,05","1015,88","4,35","3,68","129,13","0,81","2,44","16,1",E
IFRO_Colorado do Oeste,4/10/2025,33,"23,67",30,"21,22","1014,23","4,39","3,51","138,41","0,93","2,2","32,2",E
IFRO_Colorado do Oeste,4/11/2025,"2,4","25,12","30,55","21,83","1012,8","11,13","3,73","164,71","1,11","3,31","20,9",E
IFRO_Colorado do Oeste,4/12/2025,"0,2","25,28","30,27","22,5","1013,24","18,5","4,37","196,51","1,19","3,52","20,9",WNW
IFRO_Colorado do Oeste,4/13/2025,"31,4","22,92","24,83","21,55","1015,16",0,"2,31","81,56","0,34","2,29","24,1",E
IFRO_Colorado do Oeste,4/14/2025,0,"24,16","29,61","20,78","1014,08","9,96","3,56","157,63","0,92","1,96","19,3",N
IFRO_Colorado do Oeste,4/15/2025,"2,4","25,02",30,"21,44","1013,31","8,53","3,4","158,43","0,79","2,02","20,9",E
IFRO_Colorado do Oeste,4/16/2025,"0,4","23,93","26,28","22,28","1013,61","0,13","2,24","70,67","0,22","1,96","16,1",E
IFRO_Colorado do Oeste,4/17/2025,"0,6","25,15","31,11","21,33","1013,38","10,02","4,39","195,34","1,02","2,95","22,5",E
IFRO_Colorado do Oeste,4/18/2025,0,"26,26","31,77","21,89","1013,73","16,03","4,52","218,78",1,"2,32","25,7",E
IFRO_Colorado do Oeste,4/19/2025,"0,6","24,59","31,39","22,05","1014,13","10,55","3,23",113,"0,45","3,33","25,7",E
IFRO_Colorado do Oeste,4/20/2025,"1,4","24,42","30,05","21,5","1012,56","4,66","4,32","175,95","0,94","2,33","19,3",E
IFRO_Colorado do Oeste,4/21/2025,"24,2","24,05","31,22","21,28","1011,96","4,92","3,91","145,18","0,85","2,22",29,E
IFRO_Colorado do Oeste,4/22/2025,"0,6","25,06","30,94","21,39","1011,92","9,79","3,38","168,49","1,08","1,61","14,5",E
IFRO_Colorado do Oeste,4/23/2025,19,"24,78","29,83","22,11","1011,91","3,75","3,61","170,37","0,9","2,23","27,4",N
IFRO_Colorado do Oeste,4/24/2025,"0,2","26,15","30,55","22,66","1012,05","15,47","3,96","168,98","0,88","2,66","22,5",E
IFRO_Colorado do Oeste,4/25/2025,"0,8","25,79","31,16","22,33","1011,32","12,96","4,9","201,36","1,01","3,09","27,4",E
IFRO_Colorado do Oeste,4/26/2025,"10,4","24,61","31,05","22,78","1011,12","5,2","2,26","94,52","0,34","2,15","22,5",N
IFRO_Colorado do Oeste,4/27/2025,"16,2","23,98","27,66","22,44","1013,59","0,19","2,01","83,39","0,22","1,44","24,1",E
IFRO_Colorado do Oeste,4/28/2025,"0,8","24,01","27,72","22,39","1014,38","0,36","2,67","115,99","0,54","2,84","24,1",N
IFRO_Colorado do Oeste,4/29/2025,"0,6","23,9","26,89",22,1014,"1,4","3,18","129,23","0,65","3,41","17,7",E
IFRO_Colorado do Oeste,4/30/2025,0,"24,5",29,"21,72","1013,6","11,14","3,91","164,3","0,93","3,62","19,3",E
IFRO_Colorado do Oeste,5/1/2025,0,"25,34","30,83","22,11","1013,5","10,19","4,29","181,12","0,91","2,74","17,7",E
IFRO_Colorado do Oeste,5/2/2025,9,"25,51","32,11","22,28","1013,93","12,11","4,85","208,56","0,92","2,53","24,1",E
IFRO_Colorado do Oeste,5/3/2025,"0,2","25,22","29,44",22,"1014,67","9,03","3,91","163,19","0,73","2,34","16,1",N
IFRO_Colorado do Oeste,5/4/2025,0,"25,09","29,66","21,94","1014,48","8,33","3,38","155,32","0,66","1,43","16,1",E
IFRO_Colorado do Oeste,5/5/2025,"8,4","24,2","29,83","22,39","1014,88","4,4","3,61","129,84","0,72","2,32",29,E
IFRO_Colorado do Oeste,5/6/2025,"0,4","25,11","30,83","21,44","1013,93","12,28","4,72","194,17","0,99","2,15","24,1",E
IFRO_Colorado do Oeste,5/7/2025,"0,2","25,17",31,"21,39","1013,72","10,15","4,57","188,94","0,74","3,02","22,5",E
IFRO_Colorado do Oeste,5/8/2025,"0,2","25,22","31,16","21,22","1014,04","16,61","4,93","227,34","0,91","3,09","25,7",E
IFRO_Colorado do Oeste,5/9/2025,"0,2","25,59","31,55","21,22","1014,6","17,56","4,47","221,81","0,91","2,87","22,5",E
IFRO_Colorado do Oeste,5/10/2025,0,"24,59","31,5","21,5","1017,4","10,34","3,96","174,93","0,92","2,76","30,6",E
IFRO_Colorado do Oeste,5/11/2025,0,"23,3","26,89","20,39","1018,47","16,2","5,36","210,7","0,99","5,66","24,1",E
IFRO_Colorado do Oeste,5/12/2025,0,"22,51","28,27","18,05","1016,98","10,32","4,19","217,56","0,99","2,23","17,7",N
IFRO_Colorado do Oeste,5/13/2025,"1,2","24,44","30,77","19,61","1015,4","12,43","4,34","211,88","0,92","2,33","17,7",N
IFRO_Colorado do Oeste,5/14/2025,"0,2","25,01","30,77","21,44","1014,81","13,81","4,75","216,58","0,92","2,37","19,3",N
IFRO_Colorado do Oeste,5/15/2025,0,"24,76","30,61","20,55","1015,05","17,39","4,88","233,63","0,91","3,09","20,9",E
IFRO_Colorado do Oeste,5/16/2025,"0,2","23,79","30,05","18,89","1015,03","18,86","4,32","215,14","0,9","2,85","20,9",E
IFRO_Colorado do Oeste,5/17/2025,"0,2","23,68","29,89","18,39","1014,67","19,48","4,27","212,52","0,87","2,8","19,3",N
IFRO_Colorado do Oeste,5/18/2025,"0,2","24,13","30,27","18,94","1014,63","17,16","3,96","186,54","0,8","2,33","17,7",NNW
IFRO_Colorado do Oeste,5/19/2025,0,"24,58",31,"20,33","1014,97","17,29","4,42","202,2","0,85","2,5","19,3",E
IFRO_Colorado do Oeste,5/20/2025,"0,2","23,88","30,5","20,11","1015,85","14,64","4,17","189,98","0,8","2,5","22,5",N
IFRO_Colorado do Oeste,5/21/2025,0,"24,26",31,"20,11","1015,78","15,47","4,32","192,2","0,73","2,17","17,7",E
IFRO_Colorado do Oeste,5/22/2025,"0,2","24,37","30,61","19,55",1016,"16,67","4,29","210,59","0,79","2,16","17,7",E
IFRO_Colorado do Oeste,5/23/2025,0,"23,7","30,27","17,94","1016,32","19,67","4,29","216,92","0,8","2,52","17,7",NE
IFRO_Colorado do Oeste,5/24/2025,"0,2","23,06","30,77","15,67","1016,25","19,4","4,32","210,95","0,78","2,35","16,1",NNW
IFRO_Colorado do Oeste,5/25/2025,"0,2","24,59","30,72","19,44","1016,31","15,18","4,11","183,91","0,72","2,02","16,1",N
IFRO_Colorado do Oeste,5/26/2025,"6,8","24,3","29,5","20,44","1015,08","7,37","3,3","143,47","0,51","2,14","32,2",E
IFRO_Colorado do Oeste,5/27/2025,"1,2","24,52","29,61","21,66","1015,05","9,8","3,61","146,03","0,5","3,87",29,E
IFRO_Colorado do Oeste,5/28/2025,"35,4","18,74","25,72","12,44","1020,1",0,"2,64","52,72","0,09","6,28","53,1",N
IFRO_Colorado do Oeste,5/29/2025,"2,6","14,02","17,94","11,17","1021,86","13,73","3,81","128,26","0,61","7,6","32,2",E
IFRO_Colorado do Oeste,5/30/2025,0,"17,46",24,"12,72","1019,1","19,83","4,19","196,61","0,91","3,09","20,9",E
IFRO_Colorado do Oeste,5/31/2025,0,"20,36","27,44","14,83","1018,14","16,51","4,09","193,69","0,79","2,64","16,1",N
IFRO_Colorado do Oeste,6/1/2025,0,"22,08","27,5","18,39","1019,2","15,81","4,47","205,51","0,83","4,54","19,3",N
IFRO_Colorado do Oeste,6/2/2025,0,"22,29","29,44","16,78","1018,29","16,98","4,24","205,33","0,77","2,99","14,5",E
IFRO_Colorado do Oeste,6/3/2025,"0,2","23,63","30,33","18,44","1016,45","15,78","4,14","202,12","0,75","2,48","16,1",E
IFRO_Colorado do Oeste,6/4/2025,0,"24,26","31,05","19,28","1014,65","14,65","3,89","180,43","0,64","2,46","20,9",E
IFRO_Colorado do Oeste,6/5/2025,"0,2","24,57","31,33","20,05","1015,68","17,74","4,39","205,3","0,67","1,96","17,7",N
IFRO_Colorado do Oeste,6/6/2025,0,"23,89","31,27","19,39","1016,33","16,44","4,39","206,75","0,71","2,36","17,7",N
IFRO_Colorado do Oeste,6/7/2025,"0,2","23,93","30,77","19,16","1015,08","16,61","4,22","201,48","0,64","2,79","17,7",N
IFRO_Colorado do Oeste,6/8/2025,0,"23,83","31,05","18,28","1015,23","19,22","4,32","205,72","0,67","2,17","12,9",E
IFRO_Colorado do Oeste,6/9/2025,0,"21,9","25,44","18,72","1016,79","2,03","3,76","117,76","0,4","7,22","27,4",E
IFRO_Colorado do Oeste,6/10/2025,0,"20,37","26,83","15,94","1017,78","18,89","4,37","197,57","0,81","4,64","20,9",E
IFRO_Colorado do Oeste,6/11/2025,0,"21,22","27,28","16,55","1018,07","13,68","4,32","202,93","0,83","4,18","17,7",E
IFRO_Colorado do Oeste,6/12/2025,0,"22,1","28,94","16,78","1015,52","13,44","4,09","192,86","0,76","2,56","14,5",E
IFRO_Colorado do Oeste,6/13/2025,"0,2","23,44","30,33","17,89","1014,83","17,29","4,11","191,74","0,6","2,74","19,3",E
IFRO_Colorado do Oeste,6/14/2025,0,"24,07","30,83","18,28","1016,23","16,7","4,09","199,4","0,66","3,08","19,3",E
IFRO_Colorado do Oeste,6/15/2025,"0,6","23,65","29,83","19,78","1017,01","9,34","3,58","152,79","0,53","2,48","17,7",N
IFRO_Colorado do Oeste,6/16/2025,"0,2","24,15","30,11","20,05","1017,12","11,43","4,04","159,02","0,55","2,19","20,9",ENE
IFRO_Colorado do Oeste,6/17/2025,0,"23,47","30,05","17,94","1017,11","18,08","4,44","203,62","0,72","2,73","17,7",N
IFRO_Colorado do Oeste,6/18/2025,"0,2","23,28","31,05","17,28","1017,38","20,08","4,24","204,92","0,64","3,05","20,9",N
IFRO_Colorado do Oeste,6/19/2025,0,"23,26","30,61","16,44","1017,58","20,92","4,34","201,78","0,63","2,86","16,1",E
IFRO_Colorado do Oeste,6/20/2025,0,"20,16","25,39","17,16","1018,07","5,25","3,84","145,83","0,52","4,78","22,5",E
IFRO_Colorado do Oeste,6/21/2025,"0,2","22,07","29,55","16,33","1014,87","12,7","3,86","186,45","0,66","2,08","12,9",E
IFRO_Colorado do Oeste,6/22/2025,1,"23,83","30,16","17,83","1012,34","16,05","4,22","173,66","0,62","4,13","30,6",WSW
IFRO_Colorado do Oeste,6/23/2025,"46,4","21,81","24,11","17,89","1015,25",0,"2,01","27,77","0,01","3,62","30,6",E
IFRO_Colorado do Oeste,6/24/2025,"18,4","16,62","19,5","14,78","1018,69","0,08","3,76","80,75","0,35","7,92",37,N
IFRO_Colorado do Oeste,6/25/2025,0,"20,22","27,44","15,44","1015,75","6,17","3,53","152,83","0,71","2,81","17,7",E
IFRO_Colorado do Oeste,6/26/2025,"0,2","21,68","28,89","17,83","1016,58","5,12","1,37","57,7","0,11","1,59","16,1",E
IFRO_Colorado do Oeste,6/27/2025,"0,2","23,66","29,89","18,61","1017,13","10,18","3,91","185,29","0,74","2,25","16,1",E
IFRO_Colorado do Oeste,6/28/2025,"0,2","23,63","30,66","18,83","1016,3","13,27","3,84","187,67","0,67","2,13","19,3",E
IFRO_Colorado do Oeste,6/29/2025,"0,2","23,73","30,83","18,55","1017,09","15,18","3,63","192,41","0,74","3,53",29,E
IFRO_Colorado do Oeste,6/30/2025,0,"17,68","21,55","14,55","1020,73","22,05","3,53","133,33","0,53","9,68","35,4",N
IFRO_Colorado do Oeste,7/1/2025,0,"14,31","18,94","11,89","1021,93","18,22","3,78","136,53","0,52","8,77",29,E
IFRO_Colorado do Oeste,7/2/2025,0,"15,1","20,44","12,05","1022,74","12,34","3,73","140,3","0,54","8,05","32,2",E
IFRO_Colorado do Oeste,7/3/2025,0,"16,55","23,16","11,83","1022,35","22,72","4,29","208,96","0,91","5,96","27,4",E
IFRO_Colorado do Oeste,7/4/2025,0,"18,88","27,72","12,17","1020,12","16,58","3,89","205,81","0,86","3,23","20,9",E
IFRO_Colorado do Oeste,7/5/2025,0,"20,92","29,5","14,83","1019,73","17,78","4,01","204,02","0,79","2,62","16,1",N
IFRO_Colorado do Oeste,7/6/2025,"0,2","20,88","28,77","15,72","1018,67","18,43","4,04","210,72","0,78","2,88","16,1",N
IFRO_Colorado do Oeste,7/7/2025,"0,2","20,63","29,05","14,33","1018,95","21,28","4,06","205,25","0,76","2,97","19,3",N
IFRO_Colorado do Oeste,7/8/2025,0,"21,02","28,94","14,39","1019,63","22,31","4,11","217,5","0,8","3,38","17,7",E
IFRO_Colorado do Oeste,7/9/2025,0,"20,43","29,5","13,67","1018,93","21,07","4,01","210,54","0,78","2,79","16,1",N
IFRO_Colorado do Oeste,7/10/2025,"0,2","20,74","28,83","14,44","1018,96","19,39","4,09","202,78","0,77","3,1","19,3",N
IFRO_Colorado do Oeste,7/11/2025,0,"21,13","29,22","14,89","1019,72","19,89","4,17","210,23","0,79","3,28","17,7",N
IFRO_Colorado do Oeste,7/12/2025,0,"20,62","29,16","13,44","1019,04","22,72","4,29","213,01","0,77","3,2","19,3",E
IFRO_Colorado do Oeste,7/13/2025,0,"20,3","29,16","13,28","1019,35","22,73","4,39","209,27","0,77","3,16","19,3",N
IFRO_Colorado do Oeste,7/14/2025,0,"20,62","29,5","13,67","1019,51","20,36","4,22","214,84","0,81","3,09","17,7",N
IFRO_Colorado do Oeste,7/15/2025,0,"21,22","30,11","14,22","1017,47","19,44","4,24","211,71","0,76","3,15","19,3",E
IFRO_Colorado do Oeste,7/16/2025,0,"22,32","30,72","14,55","1016,37","21,68","4,57","216,2","0,77","3,16","20,9",N
IFRO_Colorado do Oeste,7/17/2025,0,"21,67","27,72","15,67","1018,71","27,96","4,6","212,23","0,89","5,44","27,4",N
IFRO_Colorado do Oeste,7/18/2025,0,"19,32","26,05","14,28","1019,43","33,1","4,65","211,59","0,92","5,93","24,1",E
IFRO_Colorado do Oeste,7/19/2025,0,"20,12","29,33","12,55","1018,2","21,58","4,29","218,18","0,84","3,07","17,7",N
IFRO_Colorado do Oeste,7/20/2025,0,"20,42","29,55","13,28","1017,42","18,98","4,17","214,7","0,88","3,12","16,1",E
IFRO_Colorado do Oeste,7/21/2025,0,"21,81","31,5","14,5","1015,9","18,9","4,42","215,04","0,82","3,14","16,1",E
IFRO_Colorado do Oeste,7/22/2025,0,"22,41","32,44","15,28","1016,12","19,66","4,34","216,37","0,79","2,64","17,7",N
IFRO_Colorado do Oeste,7/23/2025,0,"21,81","31,16","14,11","1017,69","20,23","4,27","213,41","0,8","2,96","17,7",N
IFRO_Colorado do Oeste,7/24/2025,0,"22,62","32,55","14,5","1016,23","21,55","4,32","210,15","0,78","2,92","16,1",E
IFRO_Colorado do Oeste,7/25/2025,0,"23,33","32,72","15,28","1014,35","22,52","4,62","218,7","0,79","3,78","22,5",NW
IFRO_Colorado do Oeste,7/26/2025,0,"23,98","33,44","15,89","1013,96","23,58","4,78","215,03","0,77","3,61","19,3",E
IFRO_Colorado do Oeste,7/27/2025,0,"24,38","33,66","16,11","1014,56","23,25",5,"214,88","0,76","3,73","22,5",NW
IFRO_Colorado do Oeste,7/28/2025,0,"24,5","32,94","16,83","1016,91","25,46","4,65","208,61","0,76","3,9","24,1",N
IFRO_Colorado do Oeste,7/29/2025,0,"20,86","26,66","16,5","1019,17","19,19","4,9","207,59","0,95","6,68","27,4",N
IFRO_Colorado do Oeste,7/30/2025,0,"21,07","30,05","14,55","1017,68","14,43","4,32","200,6","0,83","3,11","17,7",E
IFRO_Colorado do Oeste,7/31/2025,"0,2","23,16","32,33",16,"1016,92","18,4","4,65","216,78","0,79","3,8","22,5",WNW
IFRO_Colorado do Oeste,8/1/2025,0,"25,52","33,27","18,39","1017,28","24,82","5,36","223,05","0,87","4,44","27,4",WSW
